NUM_BO,ANO_BO,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,DELEGACIA,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,ANO,MES,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,FLAG_STATUS,RUBRICA,DESDOBRAMENTO,CONDUTA,LATITUDE,LONGITUDE,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,FLAG_STATUS,DESCR_TIPO_PESSOA,CONT_PESSOA,SEXO_PESSOA,IDADE_PESSOA,COR,DESCR_PROFISSAO,DESCR_GRAU_INSTRUCAO
1,2014,10363,DECAP,DEL.SEC.2 SUL,83 D.P. PARQUE BRISTOL,DECAP,DEL.SEC.2 SUL,83 D.P. PARQUE BRISTOL,2014,1,02/01/2014,06:30,C,Roubo (art. 157),NULL,VEICULO,-23.65760046,-46.61717673,S.PAULO,AV MIGUEL STEFANO,9999,C,Autor,2,M,NULL,Preta,NULL,NULL
1,2014,10373,DECAP,DEL.SEC.6 SANTO AMARO,100 D.P. JDIM HERCULANO,DECAP,DEL.SEC.6 SANTO AMARO,100 D.P. JDIM HERCULANO,2014,1,02/01/2014,NULL,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.68989209,-46.77386022,S.PAULO,EST DO M BOI MIRIM,5000,C,Vitima,1,F,39,Branca,NULL,NULL
1,2014,20200,DECAP,DEL.SEC.5 LESTE,DEL.SEC.5 LESTE,DECAP,DEL.SEC.1 CENTRO,12 D.P. PARI,2014,2,22/02/2014,NULL,C,Furto (art. 155),NULL,OUTROS,-23.52095371,-46.6253548,S.PAULO,PONTE CRUZEIRO DO SUL,1100,C,Vitima,1,M,52,Parda,AJUDANTE GERAL,1 Grau completo 
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),NULL,VEICULO,-23.69004592,-46.51597554,S.ANDRE,AV AUREA,785,C,Curador,14,F,60,NULL,APOSENTADO(A),NULL
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),NULL,VEICULO,-23.69004592,-46.51597554,S.ANDRE,AV AUREA,785,C,Indiciado,3,M,26,Parda,DESEMPREGADO(A),2 Grau completo 
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),NULL,VEICULO,-23.69004592,-46.51597554,S.ANDRE,AV AUREA,785,C,Testemunha,8,M,33,NULL,POLICIAL MILITAR,Superior completo
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),NULL,RESIDENCIA,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),S.ANDRE,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),C,Curador,13,F,49,NULL,DO LAR,NULL
1,2014,30117,DEMACRO,DEL.SEC.SANTO ANDRE,DEL.POL.RIBEIRAO PIRES,DEMACRO,DEL.SEC.SANTO ANDRE,DEL.POL.RIBEIRAO PIRES,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),NULL,NULL,-23.75766189,-46.45477045,RIBEIRAO PIRES,RODOVIA INDIO TIBIRICA,48950,C,Vitima,4,M,19,Branca,NULL,1 Grau completo 
1,2014,30207,DEMACRO,DEL.SEC.GUARULHOS,02 D.P. GUARULHOS,DEMACRO,DEL.SEC.GUARULHOS,05 D.P. GUARULHOS,2014,1,01/01/2014,04:30,C,Lesao corporal (art. 129),NULL,NULL,-23.49093439,-46.55326207,GUARULHOS,R CANADENSE,391,C,Autor,3,M,30,Branca,NULL,NULL
1,2014,30210,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.MAIRIPORA,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.MAIRIPORA,2014,1,01/01/2014,09:40,C,Lesao corporal (art. 129),NULL,NULL,-23.33122744,-46.59235965,MAIRIPORA,RUA LUIZ VAZ DE CAMOES,200,C,Indiciado,1,M,20,Branca,AJUDANTE,1 Grau completo 
