,NUM_BO,ANO_BO,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,DELEGACIA,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,ANO,MES,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,FLAG_STATUS,RUBRICA,DESDOBRAMENTO,CONDUTA,LATITUDE,LONGITUDE,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,FLAG_STATUS.1,DESCR_TIPO_PESSOA,CONT_PESSOA,SEXO_PESSOA,IDADE_PESSOA,COR,DESCR_PROFISSAO,DESCR_GRAU_INSTRUCAO
0,1,2014,10363,DECAP,DEL.SEC.2 SUL,83 D.P. PARQUE BRISTOL,DECAP,DEL.SEC.2 SUL,83 D.P. PARQUE BRISTOL,2014,1,02/01/2014,06:30,C,Roubo (art. 157),,VEICULO,-2.365.760.046,-4.661.717.673,S.PAULO,AV MIGUEL STEFANO,9999,C,Autor,2,M,,Preta,,
1,1,2014,10373,DECAP,DEL.SEC.6 SANTO AMARO,100 D.P. JDIM HERCULANO,DECAP,DEL.SEC.6 SANTO AMARO,100 D.P. JDIM HERCULANO,2014,1,02/01/2014,,C,Roubo (art. 157),,TRANSEUNTE,-2.368.989.209,-4.677.386.022,S.PAULO,EST DO M BOI MIRIM,5000,C,Vitima,1,F,39.0,Branca,,
2,1,2014,20200,DECAP,DEL.SEC.5 LESTE,DEL.SEC.5 LESTE,DECAP,DEL.SEC.1 CENTRO,12 D.P. PARI,2014,2,22/02/2014,,C,Furto (art. 155),,OUTROS,-2.352.095.371,-466.253.548,S.PAULO,PONTE CRUZEIRO DO SUL,1100,C,Vitima,1,M,52.0,Parda,AJUDANTE GERAL,1 Grau completo
3,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),,VEICULO,-2.369.004.592,-4.651.597.554,S.ANDRE,AV AUREA,785,C,Curador,14,F,60.0,,APOSENTADO(A),
4,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),,VEICULO,-2.369.004.592,-4.651.597.554,S.ANDRE,AV AUREA,785,C,Indiciado,3,M,26.0,Parda,DESEMPREGADO(A),2 Grau completo
5,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),,VEICULO,-2.369.004.592,-4.651.597.554,S.ANDRE,AV AUREA,785,C,Testemunha,8,M,33.0,,POLICIAL MILITAR,Superior completo
6,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),,RESIDENCIA,,,S.ANDRE,,,C,Curador,13,F,49.0,,DO LAR,
7,1,2014,30117,DEMACRO,DEL.SEC.SANTO ANDRE,DEL.POL.RIBEIRAO PIRES,DEMACRO,DEL.SEC.SANTO ANDRE,DEL.POL.RIBEIRAO PIRES,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),,,-2.375.766.189,-4.645.477.045,RIBEIRAO PIRES,RODOVIA INDIO TIBIRICA,48950,C,Vitima,4,M,19.0,Branca,,1 Grau completo
8,1,2014,30207,DEMACRO,DEL.SEC.GUARULHOS,02 D.P. GUARULHOS,DEMACRO,DEL.SEC.GUARULHOS,05 D.P. GUARULHOS,2014,1,01/01/2014,04:30,C,Lesao corporal (art. 129),,,-2.349.093.439,-4.655.326.207,GUARULHOS,R CANADENSE,391,C,Autor,3,M,30.0,Branca,,
9,1,2014,30210,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.MAIRIPORA,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.MAIRIPORA,2014,1,01/01/2014,09:40,C,Lesao corporal (art. 129),,,-2.333.122.744,-4.659.235.965,MAIRIPORA,RUA LUIZ VAZ DE CAMOES,200,C,Indiciado,1,M,20.0,Branca,AJUDANTE,1 Grau completo
10,1,2014,30217,DEMACRO,DEL.SEC.GUARULHOS,07 D.P. GUARULHOS,DEMACRO,DEL.SEC.GUARULHOS,09 D.P. GUARULHOS,2014,1,01/01/2014,00:12,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),,,-2.343.067.152,-4.650.265.044,GUARULHOS,R MARIA ELISA,5,C,Condutor,1,M,32.0,,POLICIAL MILITAR,2 Grau completo
