NUM_BO,ANO_BO,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,DELEGACIA,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,ANO,MES,FLAG_STATUS,RUBRICA,DESDOBRAMENTO,CONDUTA,LATITUDE,LONGITUDE,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,FLAG_STATUS,
3784,2016,10101,DECAP,DEL.SEC.1CENTRO,01D.P.SE,DECAP,DEL.SEC.1CENTRO,78D.P.JARDINS,2016,7,C,Furto(art.155),NULL,TRANSEUNTE,-23.56498421,46.65203458,S.PAULO,AVENIDAPAULISTA,1000,C,
3426,2016,10102,DECAP,DEL.SEC.1CENTRO,02D.P.BOMRETIRO,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,2016,5,C,Roubo(art.157),NULL,TRANSEUNTE,-23.5424764,-46.64192812,S.PAULO,PRAADAREPUBLICA,0,C,
6359,2016,10102,DECAP,DEL.SEC.1CENTRO,02D.P.BOMRETIRO,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,2016,10,C,Drogassemautorizaoouemdesacordo(Art.33caput),NULL,NULL,-23.5421834,-46.64059853,S.PAULO,RUACONSELHEIRONEBIAS,0,C,
1267,2016,10103,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,DECAP,DEL.SEC.8SAOMATEUS,49D.P.SAOMATEUS,2016,3,C,Roubo(art.157),NULL,CARGA,-23.60927461,-46.4550868,S.PAULO,RUAMADUREIRACALHEIROS,15,C,
4804,2016,10106,DECAP,DEL.SEC.1CENTRO,06D.P.CAMBUCI,DECAP,DEL.SEC.1CENTRO,06D.P.CAMBUCI,2016,12,C,Lesocorporal(art.129),NULL,NULL,-23.57392751,-46.62069322,S.PAULO,RUAROBERTSON,625,C,
4609,2016,10105,DECAP,DEL.SEC.1CENTRO,05D.P.ACLIMACAO,DECAP,DEL.SEC.1CENTRO,06D.P.CAMBUCI,2016,11,C,Furto(art.155),NULL,OUTROS,-23.56572716,-46.6318487,S.PAULO,RUAPIRESDAMOTA,295,C,
1649798,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.OSASCO,05D.P.OSASCO,2016,12,C,Roubo(art.157),NULL,OUTROS,-23.53797137,-46.77603033,OSASCO,RUADONPRIMITIVAVIANCO,0,C,
393679,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.1CENTRO,12D.P.PARI,2016,3,C,Furto(art.155),NULL,OUTROS,-23.52429533,-46.6253009,S.PAULO,AVENIDACRUZEIRODOSUL,1100,C,
529372,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.2SUL,83D.P.PARQUEBRISTOL,2016,4,C,Roubo(art.157),NULL,INTERIORDEVEICULO,-23.64262309,-46.6058101,S.PAULO,AVENIDAPADREARLINDOVIEIRA,0,C,
560254,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.7ITAQUERA,24D.P.PONTERASA,2016,5,C,Roubo(art.157),NULL,VEICULO,-23.52008187,-46.5060674,S.PAULO,RUACONCEICAODABREJAUBA,461,C,
